female,born_germany,parent_nongermany,sportsclub_4_7,music_4_7,urban,yob_1998.0,yob_1999.0,yob_2000.0,yob_2001.0,yob_2002.0,yob_2003.0,abi_p,real_p,haupt_p,education_unknown,female parent_nongermany,female sportsclub_4_7,female music_4_7,female urban,parent_nongermany^2,parent_nongermany sportsclub_4_7,parent_nongermany music_4_7,parent_nongermany urban,sportsclub_4_7 music_4_7,sportsclub_4_7 urban,music_4_7 urban,ps,treat,oweight,sportsclub,sport_hrs,kommheard,kommgotten,kommused
0,1,0.0,1.0,0.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6946031474367601,1.0,0.0,1.0,9.0,1.0,1.0,1.0
1,1,0.0,1.0,0.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6427134721039759,1.0,0.0,0.0,2.0,0.0,0.0,0.0
1,1,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4009010667394513,1.0,0.0,0.0,5.0,0.0,0.0,0.0
0,1,0.0,1.0,0.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6451517235739708,1.0,0.0,0.0,7.5,0.0,0.0,0.0
0,1,0.0,0.0,1.0,1.0,0,0,0,0,1,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6362559307684075,1.0,0.0,1.0,5.5,0.0,0.0,0.0
0,1,0.0,0.0,1.0,1.0,0,0,0,0,1,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6362559307684075,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,0.0,1.0,0.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6427134721039759,1.0,0.0,1.0,6.5,1.0,1.0,0.0
1,1,0.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.716794296118124,1.0,0.0,1.0,2.5,1.0,1.0,0.0
0,1,0.0,1.0,0.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6451517235739708,1.0,0.0,0.0,2.0,1.0,1.0,1.0
1,1,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3980396377387295,1.0,0.0,1.0,1.5,1.0,0.0,0.0
0,1,0.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8007753415570478,1.0,1.0,0.0,0.5,1.0,1.0,1.0
0,1,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6682494484264198,1.0,0.0,0.0,5.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153308406268245,1.0,0.0,0.0,4.0,1.0,1.0,0.0
