female,born_germany,parent_nongermany,sportsclub_4_7,music_4_7,urban,anz_osiblings,yob_1998.0,yob_1999.0,yob_2000.0,yob_2001.0,yob_2002.0,yob_2003.0,abi_p,real_p,haupt_p,kindergarten_stats_unknown,parent_nongerman_unknown,education_unknown,anz_osiblings_unknown,ps,treat,sportsclub,sport_hrs,oweight,kommheard,kommgotten,kommused
0,1,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.73285866,1.0,1.0,15.0,0.0,1.0,1.0,1.0
0,1,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.7089823,1.0,1.0,5.0,0.0,1.0,1.0,1.0
1,1,0.0,1.0,1.0,1.0,3.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6820407,1.0,1.0,30.0,0.0,0.0,0.0,0.0
0,1,0.0,1.0,0.0,0.0,2.0,0,0,0,0,1,0,1.0,0.0,0.0,0,0,0,0,0.6669193,1.0,0.0,13.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,1,0,0.77001697,1.0,1.0,3.5,0.0,1.0,0.0,0.0
1,1,0.0,1.0,0.0,1.0,3.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.5660946,1.0,1.0,7.5,0.0,1.0,1.0,1.0
0,1,0.0,0.0,0.0,1.0,3.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6892013,1.0,0.0,7.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,1.0,1.0,1.0,0,0,1,0,0,0,1.0,0.0,0.0,0,0,0,0,0.7048271,1.0,1.0,3.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.63815516,1.0,0.0,4.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.7089823,1.0,1.0,7.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6250036,1.0,1.0,6.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.66809094,1.0,0.0,2.5,0.0,0.0,0.0,0.0
0,1,0.0,0.0,1.0,0.0,3.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.4348814,1.0,0.0,3.0,0.0,0.0,0.0,0.0
1,1,1.0,0.0,1.0,0.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.4201981,1.0,1.0,3.0,1.0,0.0,0.0,0.0
1,1,0.0,1.0,0.0,1.0,3.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.58723086,1.0,0.0,9.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.757525,1.0,0.0,4.5,0.0,0.0,0.0,0.0
0,0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,1,0.8462364,1.0,1.0,7.0,0.0,0.0,0.0,0.0
