female,born_germany,parent_nongermany,sportsclub_4_7,music_4_7,urban,anz_osiblings,yob_1998.0,yob_1999.0,yob_2000.0,yob_2001.0,yob_2002.0,yob_2003.0,abi_p,real_p,haupt_p,kindergarten_stats_unknown,parent_nongerman_unknown,education_unknown,anz_osiblings_unknown,female parent_nongermany,female sportsclub_4_7,female music_4_7,female urban,female anz_osiblings,parent_nongermany sportsclub_4_7,parent_nongermany music_4_7,parent_nongermany urban,parent_nongermany anz_osiblings,sportsclub_4_7 music_4_7,sportsclub_4_7 urban,sportsclub_4_7 anz_osiblings,music_4_7 urban,music_4_7 anz_osiblings,urban anz_osiblings,ps,treat,sportsclub,sport_hrs,oweight,kommheard,kommgotten,kommused
0,1,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7308543005686822,1.0,1.0,15.0,0.0,1.0,1.0,1.0
0,1,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6604089066072008,1.0,1.0,5.0,0.0,1.0,1.0,1.0
1,1,0.0,1.0,1.0,1.0,3.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,3.0,0.6855832092611447,1.0,1.0,30.0,0.0,0.0,0.0,0.0
0,1,0.0,1.0,0.0,0.0,2.0,0,0,0,0,1,0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2828170280005566,1.0,0.0,13.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6873814299443266,1.0,1.0,3.5,0.0,1.0,0.0,0.0
1,1,0.0,1.0,0.0,1.0,3.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.6459487347700014,1.0,1.0,7.5,0.0,1.0,1.0,1.0
0,1,0.0,0.0,0.0,1.0,3.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6658222110044064,1.0,0.0,7.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,1.0,1.0,1.0,0,0,1,0,0,0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.698327011756654,1.0,1.0,3.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6486791745838267,1.0,0.0,4.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6604089066072008,1.0,1.0,7.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6503176420094487,1.0,1.0,6.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6610163635138069,1.0,0.0,2.5,0.0,0.0,0.0,0.0
0,1,0.0,0.0,1.0,0.0,3.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4262176754916131,1.0,0.0,3.0,0.0,0.0,0.0,0.0
1,1,1.0,0.0,1.0,0.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3530141072555562,1.0,1.0,3.0,1.0,0.0,0.0,0.0
1,1,0.0,1.0,0.0,1.0,3.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.5812056078141812,1.0,0.0,9.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7158564509852333,1.0,0.0,4.5,0.0,0.0,0.0,0.0
