index,female,born_germany,parent_nongermany,sportsclub_4_7,music_4_7,urban,anz_osiblings,yob_1998.0,yob_1999.0,yob_2000.0,yob_2001.0,yob_2002.0,yob_2003.0,abi_p,real_p,haupt_p,kindergarten_stats_unknown,parent_nongerman_unknown,education_unknown,anz_osiblings_unknown,ps,treat,sportsclub,sport_hrs,oweight,kommheard,kommgotten,kommused
0,0,1,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.7181813174386933,1.0,1.0,15.0,0.0,1.0,1.0,1.0
1,1,1,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.6534181722285516,0.0,1.0,3.0,0.0,0.0,0.0,0.0
2,0,1,0.0,1.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6276633501422078,0.0,1.0,9.0,0.0,0.0,0.0,0.0
3,1,1,0.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.2282155863883638,0.0,0.0,3.5,0.0,0.0,0.0,0.0
4,0,1,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6978894161201953,1.0,1.0,5.0,0.0,1.0,1.0,1.0
5,1,1,0.0,1.0,1.0,1.0,3.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.8704832806082803,1.0,1.0,30.0,0.0,0.0,0.0,0.0
6,0,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.187260656010656,0.0,0.0,4.0,0.0,0.0,0.0,0.0
7,0,1,0.0,1.0,0.0,0.0,2.0,0,0,0,0,1,0,1.0,0.0,0.0,0,0,0,0,0.9336666666666666,1.0,0.0,13.0,0.0,0.0,0.0,0.0
8,1,1,0.0,0.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,1,0,0.7811203004437115,1.0,1.0,3.5,0.0,1.0,0.0,0.0
9,1,1,0.0,1.0,0.0,1.0,3.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.4332048123015617,1.0,1.0,7.5,0.0,1.0,1.0,1.0
10,0,1,0.0,0.0,0.0,1.0,3.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.9946153846153846,1.0,0.0,7.0,0.0,0.0,0.0,0.0
11,1,1,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.6265151346795712,0.0,1.0,9.0,0.0,0.0,0.0,0.0
12,0,1,0.0,0.0,1.0,1.0,1.0,0,0,1,0,0,0,1.0,0.0,0.0,0,0,0,0,0.9286269841269842,1.0,1.0,3.0,0.0,0.0,0.0,0.0
13,1,1,0.0,1.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6266616334850365,1.0,0.0,4.0,0.0,0.0,0.0,0.0
14,0,1,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6978894161201953,1.0,1.0,7.0,0.0,0.0,0.0,0.0
15,0,1,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.31939504299290733,0.0,0.0,5.0,0.0,0.0,0.0,0.0
16,1,1,0.0,1.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6352442297741765,0.0,1.0,4.0,0.0,0.0,0.0,0.0
17,1,1,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.5831148276348628,1.0,1.0,6.0,0.0,0.0,0.0,0.0
18,0,1,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.7133793013600335,1.0,0.0,2.5,0.0,0.0,0.0,0.0
19,0,1,0.0,0.0,1.0,0.0,3.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.26617063492063486,1.0,0.0,3.0,0.0,0.0,0.0,0.0
20,0,1,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.28645977164330405,0.0,0.0,4.0,1.0,0.0,0.0,0.0
21,1,1,1.0,0.0,1.0,0.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6250508658008658,1.0,1.0,3.0,1.0,0.0,0.0,0.0
22,1,1,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.24826212673482015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1,1,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.6206121933621932,0.0,0.0,3.0,0.0,0.0,0.0,0.0
24,1,1,0.0,0.0,1.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.611977144310918,0.0,1.0,4.0,0.0,0.0,0.0,0.0
25,1,1,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1.0,0.0,0.0,0,0,0,0,0.19021123321123315,0.0,0.0,3.5,0.0,0.0,0.0,0.0
26,0,1,0.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.561756041133171,0.0,0.0,1.5,0.0,0.0,0.0,0.0
27,1,1,0.0,0.0,0.0,1.0,3.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.5006785714285713,0.0,0.0,3.0,0.0,0.0,0.0,0.0
28,0,1,0.0,0.0,1.0,0.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.3029972728509879,0.0,0.0,14.0,0.0,0.0,0.0,0.0
29,1,1,0.0,1.0,0.0,1.0,3.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.40495238095238095,1.0,0.0,9.0,0.0,0.0,0.0,0.0
30,0,1,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.7116763223054444,1.0,0.0,4.5,0.0,0.0,0.0,0.0
31,1,1,0.0,1.0,1.0,0.0,1.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.3071120130953846,0.0,1.0,8.0,0.0,0.0,0.0,0.0
32,0,0,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,1,0.8418203463203463,1.0,1.0,7.0,0.0,0.0,0.0,0.0
33,0,1,0.0,0.0,0.0,1.0,2.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.5874252414252414,1.0,1.0,6.0,0.0,1.0,1.0,1.0
34,1,1,0.0,0.0,1.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.5459765333677452,1.0,1.0,9.5,0.0,0.0,0.0,0.0
35,1,1,1.0,0.0,1.0,1.0,2.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.5257518315018315,1.0,0.0,7.0,0.0,0.0,0.0,0.0
36,1,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.917685606060606,1.0,0.0,0.5,0.0,1.0,0.0,0.0
37,0,1,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.1519392551892552,1.0,0.0,1.0,0.0,0.0,0.0,0.0
38,1,1,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.22764208336731884,0.0,1.0,1.5,0.0,0.0,0.0,0.0
39,1,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,1.0,0.0,0.0,0,0,0,1,0.5022795815295815,1.0,0.0,2.5,0.0,1.0,0.0,0.0
40,0,1,0.0,0.0,1.0,0.0,3.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.26617063492063486,0.0,0.0,1.0,1.0,0.0,0.0,0.0
41,0,1,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.7011285585032239,0.0,0.0,2.0,0.0,0.0,0.0,0.0
42,1,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.39998368036518533,0.0,0.0,2.0,0.0,0.0,0.0,0.0
43,0,1,0.0,1.0,0.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6276633501422078,0.0,1.0,5.0,1.0,0.0,0.0,0.0
44,1,1,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.7512801367460326,0.0,1.0,2.0,1.0,0.0,0.0,0.0
45,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.4637876734298505,0.0,1.0,6.0,0.0,0.0,0.0,0.0
46,1,1,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,0,1.0,0.0,0.0,0,0,0,0,0.12908333333333333,0.0,1.0,2.5,1.0,0.0,0.0,0.0
47,1,1,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.28604241510273853,0.0,1.0,4.5,0.0,0.0,0.0,0.0
48,0,1,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.7011285585032239,1.0,0.0,5.0,0.0,1.0,1.0,1.0
49,1,1,0.0,0.0,0.0,1.0,2.0,0,0,0,1,0,0,1.0,0.0,0.0,1,0,0,0,0.285,0.0,1.0,7.5,0.0,0.0,0.0,0.0
50,1,1,0.0,0.0,1.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.7724197358688888,1.0,1.0,4.0,0.0,1.0,1.0,0.0
51,1,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.32950321539199395,0.0,0.0,4.5,0.0,0.0,0.0,0.0
52,1,1,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.7770513728013728,1.0,0.0,2.0,0.0,1.0,1.0,0.0
53,0,1,1.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
54,0,1,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.2848567287828756,1.0,1.0,5.0,0.0,1.0,1.0,1.0
55,0,1,0.0,1.0,0.0,1.0,2.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.36352737540237534,1.0,0.0,8.0,0.0,0.0,0.0,0.0
56,1,1,0.0,1.0,1.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6105254038437122,0.0,0.0,3.0,0.0,0.0,0.0,0.0
57,0,1,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.05459974206135323,0.0,1.0,5.0,1.0,0.0,0.0,0.0
58,1,1,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.24826212673482015,1.0,0.0,0.0,0.0,1.0,0.0,0.0
59,0,1,0.0,1.0,0.0,1.0,3.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.4773333333333333,1.0,1.0,10.0,0.0,1.0,0.0,0.0
60,0,1,0.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.6712349487439035,1.0,1.0,5.0,0.0,1.0,1.0,1.0
61,1,1,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.4385714285714286,1.0,0.0,1.0,1.0,0.0,0.0,0.0
62,1,1,1.0,0.0,1.0,1.0,2.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6667857142857143,1.0,0.0,6.0,1.0,1.0,0.0,0.0
63,1,1,0.0,0.0,0.0,0.0,2.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.3051652018486735,0.0,0.0,4.0,0.0,0.0,0.0,0.0
64,1,1,0.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.29882171020130344,0.0,1.0,3.0,0.0,0.0,0.0,0.0
65,0,1,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,1,0.7301904761904765,0.0,0.0,3.0,0.0,0.0,0.0,0.0
66,1,1,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.5831148276348628,1.0,1.0,12.0,0.0,0.0,0.0,0.0
67,1,1,0.0,1.0,1.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6105254038437122,0.0,1.0,4.0,1.0,0.0,0.0,0.0
